id,name,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,price,weekly_price,monthly_price,number_of_reviews,first_review,review_scores_rating,first_year
31209981,Cozy 1 bedroom apartment in Pilsen!,1.0,Lower West Side,41.85655,-87.66982,Entire home/apt,59.0,414.13461538461536,1794.5833333333333,17,2019-01-20,96.0,2019
31212218,"Sunny 3BR Near UIC, Rush, Free Parking & Netflix",0.0,Near West Side,41.86667,-87.65679,Entire home/apt,250.0,1754.8076923076924,7604.166666666667,28,2019-01-26,94.0,2019
31212546,Old Town (Lincoln Park) Guest House+ Parking Prmts,1.0,Lincoln Park,41.91339,-87.63572,Entire home/apt,100.0,701.9230769230769,3041.6666666666665,2,2019-03-10,90.0,2019
31220740,Private Room and Bath in a Victorian Row Home,0.0,Near West Side,41.87841,-87.68343,Private room,30.0,210.57692307692307,912.5,2,2019-01-16,100.0,2019
31221248,Designer 4BR in Andersonville - Near the Red Line!,0.0,Uptown,41.97342,-87.66027,Entire home/apt,129.0,905.4807692307693,3923.75,5,2019-02-04,76.0,2019
31221426,"Chicago Bungalow ""get away"" in the City-6",1.0,Albany Park,41.97169,-87.71842,Entire home/apt,110.0,772.1153846153846,3345.8333333333335,4,2019-03-15,100.0,2019
31221889,Bright 3BR in Andersonville - Walk to the Train!,0.0,Uptown,41.97367,-87.66071,Entire home/apt,101.0,708.9423076923077,3072.0833333333335,5,2019-02-18,96.0,2019
31224166,Home away from home.,0.0,Douglas,41.8358,-87.617,Entire home/apt,30.0,210.57692307692307,912.5,4,2019-01-27,70.0,2019
31225961,Serenity - Next to Downtown & McCormick Place,0.0,Bridgeport,41.84722,-87.65448,Entire home/apt,135.0,947.5961538461538,4106.25,9,2019-01-13,89.0,2019
31236885,North Woods/Mid-Century Inspired Pad in Bucktown/Wicker Park,1.0,Logan Square,41.91816,-87.68476,Entire home/apt,103.0,722.9807692307693,3132.9166666666665,11,2019-03-03,100.0,2019
31239469,Private Bedroom & Bathroom in Bronzeville,0.0,Grand Boulevard,41.81686,-87.61329,Private room,75.0,526.4423076923077,2281.25,1,2019-04-15,100.0,2019
31240176,"2min Walk Lake, Millennium Park & River 1 Bdrm",0.0,Loop,41.88615,-87.61729,Entire home/apt,72.0,505.38461538461536,2190.0,1,2019-01-20,100.0,2019
31254335,Bright & Spacious 3br/2ba Condo near Wrigleyville,1.0,North Center,41.95307,-87.68557,Entire home/apt,305.0,2140.8653846153848,9277.083333333334,14,2019-01-13,100.0,2019
31259602,Pilsen Living Room - Breakfast Included,0.0,Lower West Side,41.84864,-87.67686,Shared room,22.0,154.42307692307693,669.1666666666666,15,2019-01-12,96.0,2019
31262012,Lux High-rise 2B/2B in Magnificent Miles,0.0,Near North Side,41.89238,-87.62232,Entire home/apt,289.0,2028.5576923076924,8790.416666666666,3,2019-03-31,80.0,2019
31283275,Bright McCormick+Museums 2bd/2ba Loft with❤️,1.0,Near South Side,41.8552,-87.62507,Entire home/apt,184.0,1291.5384615384614,5596.666666666667,19,2019-01-21,93.0,2019
31284304,Luxury Apartment on Michigan Ave! Close to it all.,0.0,Near South Side,41.8651,-87.62325,Entire home/apt,400.0,2807.6923076923076,12166.666666666666,2,2019-01-13,100.0,2019
31285130,Garden Room in Burberry Leopard House,0.0,Rogers Park,42.01201,-87.67017,Private room,30.0,210.57692307692307,912.5,9,2019-02-16,98.0,2019
31285390,Near West Loop Garden Unit with various amenities,0.0,East Garfield Park,41.88365,-87.69247,Entire home/apt,95.0,666.8269230769231,2889.5833333333335,16,2019-01-04,97.0,2019
31288423,Wrigleyville 3 BR Apartment + Free Private Parking,0.0,Lake View,41.94789,-87.66828,Entire home/apt,169.0,1186.25,5140.416666666667,1,2019-05-05,100.0,2019
31290746,The Colee in Lakeview,1.0,Lake View,41.943,-87.65059,Private room,25.0,175.48076923076923,760.4166666666666,9,2019-01-06,98.0,2019
31302521,West of Loop Apartment,0.0,Near West Side,41.88231,-87.68827,Entire home/apt,85.0,596.6346153846154,2585.4166666666665,3,2019-04-28,100.0,2019
31307130,Top Bunk - 20 Minutes to Downtown 1 Block from CTA,1.0,East Garfield Park,41.88359,-87.70857,Shared room,18.0,126.34615384615384,547.5,6,2019-03-02,100.0,2019
31313131,A hidden gem with free parking,1.0,Brighton Park,41.81406,-87.69929,Entire home/apt,39.0,273.75,1186.25,23,2019-01-20,97.0,2019
31315336,Perfect Family Vacation Oasis! Safe* Location* Comfort* Patio* St Parking*,1.0,North Center,41.93858,-87.68871,Entire home/apt,198.0,1389.8076923076924,6022.5,4,2019-02-04,100.0,2019
31315875,Amazing place and great neighborhood,0.0,North Park,41.97927,-87.7142,Entire home/apt,349.0,2449.7115384615386,10615.416666666666,1,2019-03-20,100.0,2019
31329286,King’s Quarters,0.0,Austin,41.88294,-87.7672,Private room,60.0,421.15384615384613,1825.0,2,2019-03-28,100.0,2019
31331564,SPECIAL SPRING PRICING! Visit me April-May!!!!,1.0,West Town,41.89926,-87.69746,Entire home/apt,55.0,386.0576923076923,1672.9166666666667,11,2019-01-20,100.0,2019
31332222,Private Queen Room at Boutique Hotel,1.0,Near North Side,41.89214,-87.63349,Private room,72.0,505.38461538461536,2190.0,9,2019-01-27,96.0,2019
31332554,Private Bedroom in the heart of Lakeview East,0.0,Lake View,41.94557,-87.64563,Private room,96.0,673.8461538461538,2920.0,4,2019-01-11,100.0,2019
31334771,Vintage Lincoln Park (Parking+Beach+Wrigleyville),1.0,Lincoln Park,41.92947,-87.6473,Entire home/apt,60.0,421.15384615384613,1825.0,28,2019-01-11,95.0,2019
31335828,Quiet Private Bedroom & Bath in Edgewater,1.0,Edgewater,41.97746,-87.65638,Private room,30.0,210.57692307692307,912.5,20,2019-01-20,100.0,2019
31335843,Magical Chicago apartment in a fun neighborhood,1.0,North Center,41.93758,-87.68214,Entire home/apt,125.0,877.4038461538462,3802.0833333333335,21,2019-01-13,97.0,2019
31338107,Ukrainian Village Loft Style 3-Bedroom Apartment,0.0,West Town,41.89605,-87.6944,Entire home/apt,105.0,737.0192307692307,3193.75,6,2019-04-08,97.0,2019
31356183,Private Suite-Beautiful Historic Chicago Red Brick,0.0,Rogers Park,42.01347,-87.67257,Private room,65.0,456.25,1977.0833333333333,3,2019-01-24,100.0,2019
31356216,Vintage Humboldt Park 1BD Apartment PET FRIENDLY!,0.0,Humboldt Park,41.91107,-87.72256,Entire home/apt,50.0,350.96153846153845,1520.8333333333333,4,2019-02-02,67.0,2019
31358755,Princess’ Quarters,0.0,Austin,41.88393,-87.76538,Private room,50.0,350.96153846153845,1520.8333333333333,1,2019-04-15,100.0,2019
31358903,New apartment,1.0,Armour Square,41.84831,-87.63443,Entire home/apt,180.0,1263.4615384615386,5475.0,17,2019-02-02,96.0,2019
31362318,Cozy room in Rogers Park,0.0,Rogers Park,42.01224,-87.68078,Private room,40.0,280.7692307692308,1216.6666666666667,1,2019-03-25,100.0,2019
31363687,"Sleeps 16 - FREE Private Parking, Breakfast, Wine Smoothies, Hola 欢迎",1.0,Woodlawn,41.77743,-87.59278,Entire home/apt,195.0,1368.75,5931.25,1,2019-04-28,100.0,2019
31364531,"Sleeps 10 - FREE Private Parking, Breakfast,  Jacuzzi, Sushi, Smoothies 你好 Hola",1.0,Woodlawn,41.77753,-87.59335,Entire home/apt,133.0,933.5576923076923,4045.4166666666665,16,2019-01-20,96.0,2019
31377204,"3min. Walk to Millennium Park, ♛ King Bed ♛",0.0,Loop,41.88504,-87.62325,Entire home/apt,400.0,2807.6923076923076,12166.666666666666,5,2019-02-16,100.0,2019
31377545,Private Master Suite in Great Location,0.0,West Town,41.90343,-87.67553,Private room,45.0,315.86538461538464,1368.75,3,2019-01-19,93.0,2019
